ICAO,IATA,Name,Type,Municipality
YWGT,WGT,Wangaratta Airport,Medium airport,Wangaratta
YWKB,WKB,Warracknabeal Airport,Medium airport,Warracknabeal
YWRN,QRR,Warren Airport,Medium airport,Warren
YBWP,WEI,Weipa Airport,Medium airport,Weipa
YWSL,SXE,West Sale Airport,Medium airport,Sale
YWWL,WWY,West Wyalong Airport,Medium airport,West Wyalong
YWHA,WYA,Whyalla Airport,Medium airport,Whyalla
YWLU,WUN,Wiluna Airport,Medium airport,Mid West region
YWDH,WNR,Windorah Airport,Medium airport,Windorah
YWTN,WIN,Winton Airport,Medium airport,Queensland
YWOL,WOL,Wollongong Airport,Medium airport,Shellharbour
YWYY,BWT,Wynyard Airport,Medium airport,Burnie
YYNG,NGA,Young Airport,Medium airport,South West Slopes
